GivenName,Surname,Username,Password,Department,JobTitle,TelephoneNumber
Megan,Reynolds,mreynolds,PASSWORD,Marketing,Specialist,914-773-3406
Scott,Grove,sgrove,PASSWORD,Marketing,Specialist,914-773-3406
Paul,McClain,pmcclain,PASSWORD,Operational Technology,Battery Engineer,914-773-3406
Ruben,Wolford,rwolford,PASSWORD,Operational Technology,Battery Engineer,914-773-3406
Susan,Mitchell,smitchell,PASSWORD,Operational Technology,Battery Engineer,914-773-3406
David,Woods,dwoods,PASSWORD,Operational Technology,Hydroelectric Analyst,914-773-3406
Frances,Warrick,fwarrick,PASSWORD,Operational Technology,Hydroelectric Analyst,914-773-3406
Clyde,Vicente,cvicente,PASSWORD,Operational Technology,OT Manager,914-773-3406
Desiree,Wiggins,dwiggins,PASSWORD,Operational Technology,OT Manager,914-773-3406
Edward,Mroz,emroz,PASSWORD,Operational Technology,OT Manager,914-773-3406
Joseph,Howard,jhoward,PASSWORD,Operational Technology,OT Manager,914-773-3406
Ashley,Pollock,apollock,PASSWORD,Operational Technology,Product Designer,914-773-3406
Bonnie,Blanchard,bblanchard,PASSWORD,Operational Technology,Product Designer,914-773-3406
Daniel,Covington,dcovington,PASSWORD,Operational Technology,Quality Control Engineer,914-773-3406
Jonathan,McCown,jmccown,PASSWORD,Operational Technology,Quality Control Engineer,914-773-3406
Rosalyn,Francis,rfrancis,PASSWORD,Operational Technology,Quality Control Engineer,914-773-3406
Rosa,Grow,rgrow,PASSWORD,Operational Technology,Quality Control Engineer,914-773-3406
Darla,Gingras,dgingras,PASSWORD,Operational Technology,Sustainability Coordinator,914-773-3406
Travis,Deck,tdeck,PASSWORD,Operational Technology,Sustainability Coordinator,914-773-3406
Orlando,Davis,odavis,PASSWORD,Operations,Advisor,914-773-3406
Cora,Johnson,cjohnson,PASSWORD,Operations,Analyst,914-773-3406
Lynn,Garcia,lgarcia,PASSWORD,Operations,Analyst,914-773-3406
Darrell,Hanshaw,dhanshaw,PASSWORD,Operations,Assistant,914-773-3406
Francine,Brock,fbrock,PASSWORD,Operations,Assistant,914-773-3406
Jeffrey,Coats,jcoats,PASSWORD,Operations,Assistant,914-773-3406
Jason,Danis,jdanis,PASSWORD,Operations,Assistant,914-773-3406
Jacob,Pratt,jpratt,PASSWORD,Operations,Assistant,914-773-3406
William,Askew,waskew,PASSWORD,Operations,Assistant,914-773-3406
Cynthia,Singh,csingh,PASSWORD,Operations,Coordinator,914-773-3406
Eric,Heckel,eheckel,PASSWORD,Operations,Coordinator,914-773-3406
Matthew,Longoria,mlongoria,PASSWORD,Operations,Coordinator,914-773-3406
Nicholas,Taylor,ntaylor,PASSWORD,Operations,Director,914-773-3406
Donna,Taylor,dtaylor,PASSWORD,Operations,Specialist,914-773-3406
Chris,Perry,cperry,PASSWORD,Product Development,Battery Engineer,914-773-3406
Claude,Petti,cpetti,PASSWORD,Product Development,Battery Engineer,914-773-3406
Doris,Parkes,dparkes,PASSWORD,Product Development,Hydroelectric Analyst,914-773-3406
Gertrude,Hayden,ghayden,PASSWORD,Product Development,Hydroelectric Analyst,914-773-3406
Kevin,Crafton,kcrafton,PASSWORD,Product Development,Hydroelectric Analyst,914-773-3406
Frank,Yazzie,fyazzie,PASSWORD,Product Development,IoT Specialist,914-773-3406
Laura,Brown,lbrown,PASSWORD,Product Development,OT Manager,914-773-3406
Diana,Myers,dmyers,PASSWORD,Product Development,Product Designer,914-773-3406
Randall,Wotring,rwotring,PASSWORD,Product Development,Product Designer,914-773-3406
Jerry,Wester,jwester,PASSWORD,Product Development,Sustainability Coordinator,914-773-3406
Sidney,Gutierrez,sgutierrez,PASSWORD,Product Development,Sustainability Coordinator,914-773-3406
Joel,Mendez,jmendez,PASSWORD,Quality Assurance,Battery Engineer,914-773-3406
Jean,Bauer,jbauer,PASSWORD,Quality Assurance,Hydroelectric Analyst,914-773-3406
Jill,Bishop,jbishop,PASSWORD,Quality Assurance,Hydroelectric Analyst,914-773-3406
Josephine,Chatman,jchatman,PASSWORD,Quality Assurance,Hydroelectric Analyst,914-773-3406
Katherine,Mahan,kmahan,PASSWORD,Quality Assurance,Hydroelectric Analyst,914-773-3406
Michael,Herold,mherold,PASSWORD,Quality Assurance,Hydroelectric Analyst,914-773-3406
Micheal,Johnson,mjohnson,PASSWORD,Quality Assurance,Hydroelectric Analyst,914-773-3406
Wendy,Ebert,webert,PASSWORD,Quality Assurance,Hydroelectric Analyst,914-773-3406
Andrew,Woods,awoods,PASSWORD,Quality Assurance,IoT Specialist,914-773-3406
Adriana,Clinton,aclinton,PASSWORD,Quality Assurance,OT Manager,914-773-3406
Crystal,Bueno,cbueno,PASSWORD,Quality Assurance,OT Manager,914-773-3406
Anita,Covington,acovington,PASSWORD,Quality Assurance,Product Designer,914-773-3406
Dolores,Galiano,dgaliano,PASSWORD,Quality Assurance,Product Designer,914-773-3406
Isaac,Hamlin,ihamlin,PASSWORD,Quality Assurance,Product Designer,914-773-3406
Gary,Lopez,glopez,PASSWORD,Quality Assurance,Quality Control Engineer,914-773-3406
Felix,Cheng,fcheng,PASSWORD,Quality Assurance,Sustainability Coordinator,914-773-3406
Christoper,Loucks,cloucks,PASSWORD,Sales,Advisor,914-773-3406
Nicholas,Hood,nhood,PASSWORD,Sales,Advisor,914-773-3406
Francis,McKenna,fmckenna,PASSWORD,Sales,Analyst,914-773-3406
Loria,Frick,lfrick,PASSWORD,Sales,Assistant,914-773-3406
Anthony,Ratliff,aratliff,PASSWORD,Sales,Director,914-773-3406
Floyd,Gutierrez,fgutierrez,PASSWORD,Sales,Director,914-773-3406
James,Muir,jmuir,PASSWORD,Sales,Director,914-773-3406
Robert,Martin,rmartin,PASSWORD,Sales,Director,914-773-3406
Terrie,Shannon,tshannon,PASSWORD,Sales,Manager,914-773-3406
Ella,McDonald,emcdonald,PASSWORD,Sales,Specialist,914-773-3406
Stephen,Olson,solson,PASSWORD,Sales,Specialist,914-773-3406
Timothy,Davis,tdavis,PASSWORD,Sustainability Research,Battery Engineer,914-773-3406
Arthur,Dowling,adowling,PASSWORD,Sustainability Research,Hydroelectric Analyst,914-773-3406
James,Barden,jbarden,PASSWORD,Sustainability Research,Hydroelectric Analyst,914-773-3406
Marty,Jansen,mjansen,PASSWORD,Sustainability Research,Hydroelectric Analyst,914-773-3406
Luis,Keller,lkeller,PASSWORD,Sustainability Research,IoT Specialist,914-773-3406
Barbara,Howard,bhoward,PASSWORD,Sustainability Research,OT Manager,914-773-3406
Elaine,Chavez,echavez,PASSWORD,Sustainability Research,OT Manager,914-773-3406
Elaine,Dexter,edexter,PASSWORD,Sustainability Research,OT Manager,914-773-3406
Lewis,Walton,lwalton,PASSWORD,Sustainability Research,OT Manager,914-773-3406
Connie,Poindexter,cpoindexter,PASSWORD,Sustainability Research,Product Designer,914-773-3406
Stella,Hess,shess,PASSWORD,Sustainability Research,Product Designer,914-773-3406
Michael,Webb,mwebb,PASSWORD,Sustainability Research,Quality Control Engineer,914-773-3406
Patrick,Lilley,plilley,PASSWORD,Sustainability Research,Quality Control Engineer,914-773-3406
Randall,Salas,rsalas,PASSWORD,Sustainability Research,Quality Control Engineer,914-773-3406
Emily,Nichols,enichols,PASSWORD,Sustainability Research,Sustainability Coordinator,914-773-3406
Ruth,Reinke,rreinke,PASSWORD,Sustainability Research,Sustainability Coordinator,914-773-3406
Victoria,Schneider,vschneider,PASSWORD,Sustainability Research,Sustainability Coordinator,914-773-3406
GitLab,Service,svc_gitlab,PASSWORD,Services,GitLab,914-773-3406
Admin,Service,svc_admin,PASSWORD,Services,Admin,914-773-3406
Monitoring,Service,svc_monitoring,PASSWORD,Services,Monitoring,914-773-3406
Backup,Service,svc_backup,PASSWORD,Services,Backup,914-773-3406
App1,Service,svc_app1,PASSWORD,Services,App1,914-773-3406
App2,Service,svc_app2,PASSWORD,Services,App2,914-773-3406
